ORCID,Hopkins Profile,Year,Title,Authors,PubMed Link,Abstract
0000-0003-0275-8037,https://profiles.hopkinsmedicine.org/provider/cheng-ting-lin/2703089,2024,Association of clinical and imaging characteristics with pulmonary function testing in patients with Long-COVID.,"Zhao Lin-Mei, Lancaster Andrew C, Patel Ritesh, Zhang Helen, Duong Tim Q, Jiao Zhicheng, Lin Cheng Ting, Healey Terrance, Wright Thaddeus, Wu Jing, Bai Harrison X",https://pubmed.ncbi.nlm.nih.gov/38845871/,"The purpose of this study is to identify clinical and imaging characteristics associated with post-COVID pulmonary function decline. This study included 22 patients recovering from COVID-19 who underwent serial spirometry pulmonary function testing (PFT) before and after diagnosis. Patients were divided into two cohorts by difference between baseline and post-COVID follow-up PFT: Decline group (>10 % decrease in FEV1), and Stable group (≤10 % decrease or improvement in FEV1). Demographic, clinical, and laboratory data were collected, as well as PFT and chest computed tomography (CT) at the time of COVID diagnosis and follow-up. CTs were semi-quantitatively scored on a five-point severity scale for disease extent in each lobe by two radiologists. Mann-Whitney U-tests, T-tests, and Chi-Squared tests were used for comparison. P-values <0.05 were considered statistically significant. The Decline group had a higher proportion of neutrophils (79.47 ± 4.83 % vs. 65.45 ± 10.22 %; p = 0.003), a higher absolute neutrophil count (5.73 ± 2.68 × 10 This study provides novel insight into factors influencing post-COVID lung function, irrespective of pre-existing pulmonary conditions. Our findings underscore the significance of neutrophil counts, reduced lymphocyte counts, pulmonary reticulation on chest CT at diagnosis, and extent of GGOs on follow-up chest CT as potential indicators of decreased post-COVID lung function. This knowledge may guide prediction and further understanding of long-term sequelae of COVID-19 infection."
0000-0003-0275-8037,https://profiles.hopkinsmedicine.org/provider/cheng-ting-lin/2703089,2023,Utilizing Deep Learning and Computed Tomography to Determine Pulmonary Nodule Activity in Patients With Nontuberculous Mycobacterial-Lung Disease.,"Lancaster Andrew C, Cardin Mitchell E, Nguyen Jan A, Mehta Tej I, Oncel Dilek, Bai Harrison X, Cohen Keira A, Lin Cheng Ting",https://pubmed.ncbi.nlm.nih.gov/38640144/,"To develop and evaluate a deep convolutional neural network (DCNN) model for the classification of acute and chronic lung nodules from nontuberculous mycobacterial-lung disease (NTM-LD) on computed tomography (CT). We collected a data set of 650 nodules (316 acute and 334 chronic) from the CT scans of 110 patients with NTM-LD. The data set was divided into training, validation, and test sets in a ratio of 4:1:1. Bounding boxes were used to crop the 2D CT images down to the area of interest. A DCNN model was built using 11 convolutional layers and trained on these images. The performance of the model was evaluated on the hold-out test set and compared with that of 3 radiologists who independently reviewed the images. The DCNN model achieved an area under the receiver operating characteristic curve of 0.806 for differentiating acute and chronic NTM-LD nodules, corresponding to sensitivity, specificity, and accuracy of 76%, 68%, and 72%, respectively. The performance of the model was comparable to that of the 3 radiologists, who had area under the receiver operating characteristic curve, sensitivity, specificity, and accuracy of 0.693 to 0.771, 61% to 82%, 59% to 73%, and 60% to 73%, respectively. This study demonstrated the feasibility of using a DCNN model for the classification of the activity of NTM-LD nodules on chest CT. The model performance was comparable to that of radiologists. This approach can potentially and efficiently improve the diagnosis and management of NTM-LD."
0000-0003-0275-8037,https://profiles.hopkinsmedicine.org/provider/cheng-ting-lin/2703089,2023,"A Multicenter, Single-Arm, Prospective Trial Assessing the Diagnostic Yield of Electromagnetic Bronchoscopic and Transthoracic Navigation for Peripheral Pulmonary Nodules.","Thiboutot Jeffrey, Pastis Nicholas J, Akulian Jason, Silvestri Gerard A, Chen Alexander, Wahidi Momen M, Gilbert Christopher R, Lin Cheng Ting, Los Jenna, Flenaugh Eric, Semaan Roy, Burks A Cole, Sathyanarayan Priya, Wu Sam, Feller-Kopman David, Cheng George Z, Alalawi Raed, Rahman Najib M, Maldonado Fabien, Lee Hans J, Yarmus Lonny",https://pubmed.ncbi.nlm.nih.gov/37582154/,"Rationale: Strict adherence to procedural protocols and diagnostic definitions is critical to understand the efficacy of new technologies. Electromagnetic navigational bronchoscopy (ENB) for lung nodule biopsy has been used for decades without a solid understanding of its efficacy, but offers the opportunity for simultaneous tissue acquisition via electromagnetic navigational transthoracic biopsy (EMN-TTNA) and staging via endobronchial ultrasound (EBUS). Objective: To evaluate the diagnostic yield of EBUS, ENB, and EMN-TTNA during a single procedure using a strict a priori definition of diagnostic yield with central pathology adjudication. Methods: A prospective, single-arm trial was conducted at eight centers enrolling participants with pulmonary nodules (<3 cm; without computed tomography [CT]- and/or positron emission tomography-positive mediastinal lymph nodes) who underwent a staged procedure with same-day CT, EBUS, ENB, and EMN-TTNA. The procedure was staged such that, when a diagnosis had been achieved via rapid on-site pathologic evaluation, the procedure was ended and subsequent biopsy modalities were not attempted. A study finding was diagnostic if an independent pathology core laboratory confirmed malignancy or a definitive benign finding. The primary endpoint was the diagnostic yield of the combination of CT, EBUS, ENB, and EMN-TTNA. Measurements and Main Results: A total of 160 participants at 8 centers with a mean nodule size of 18 ± 6 mm were enrolled. The diagnostic yield of the combined procedure was 59% (94 of 160; 95% confidence interval [CI], 51-66%). Nodule regression was found on same-day CT in 2.5% of cases (4 of 160; 95% CI, 0.69-6.3%), and EBUS confirmed malignancy in 7.1% of cases (11 of 156; 95% CI, 3.6-12%). The yield of ENB alone was 49% (74 of 150; 95% CI, 41-58%), that of EMN-TTNA alone was 27% (8 of 30; 95% CI, 12-46%), and that of ENB plus EMN-TTNA was 53% (79 of 150; 95% CI, 44-61%). Complications included a pneumothorax rate of 10% and a 2% bleeding rate. When EMN-TTNA was performed, the pneumothorax rate was 30%. Conclusions: The diagnostic yield for ENB is 49%, which increases to 59% with the addition of same-day CT, EBUS, and EMN-TTNA, lower than in prior reports in the literature. The high complication rate and low diagnostic yield of EMN-TTNA does not support its routine use. Clinical trial registered with www.clinicaltrials.gov (NCT03338049)."
0000-0003-0275-8037,https://profiles.hopkinsmedicine.org/provider/cheng-ting-lin/2703089,2023,Ablative radiation alone in stage I lung cancer produces an adaptive systemic immune response: insights from a prospective stud.,"Voong Khinh Ranh, Illei Peter B, Presson Bradley, Singh Dipika, Zeng Zhen, Lanis Mara, Hales Russell K, Hu Chen, Tran Phuoc T, Georgiades Christos, Lin Cheng Ting, Thiboutout Jeffrey, Brahmer Julie R, Forde Patrick M, Naidoo Jarushka, Anagnostou Valsamo, Smith Kellie N",https://pubmed.ncbi.nlm.nih.gov/37793854/,"Stereotactic ablative body radiation (SABR) delivers high rates of local control in early-stage non-small cell lung cancer (NSCLC); however, systemic immune effects are poorly understood. Here, we evaluate the early pathologic and immunologic effects of SABR. Blood/core-needle tumor biopsies were collected from six patients with stage I NSCLC before and 5-7 days after SABR (48 Gy/4 or 50 Gy/5 fractions). Serial blood was collected up to 1-year post-SABR. We used immunohistochemistry to evaluate pathological changes, immune-cell populations (CD8, FoxP3), and PD-L1/PD-1 expression within the tumor. We evaluated T-cell receptor (TCR) profile changes in the tumor using TCR sequencing. We used the MANAFEST (Mutation-Associated Neoantigen Functional Expansion of Specific T-cells) assay to detect peripheral neoantigen-specific T-cell responses and dynamics. At a median follow-up of 40 months, 83% of patients (n=5) were alive without tumor progression. Early post-SABR biopsies showed viable tumor and similar distribution of immune-cell populations as compared with baseline samples. Core-needle samples proved insufficient to detect population-level TCR-repertoire changes. Functionally, neoantigen-specific T-cells were detected in the blood prior to SABR. A subset of these patients had a transient increase in the frequency of neoantigen-specific T-cells between 1 week and 3-6 months after SABR. SABR alone could induce a delayed, transient neoantigen-specific T-cell immunologic response in patients with stage I NSCLC."
0000-0003-0275-8037,https://profiles.hopkinsmedicine.org/provider/cheng-ting-lin/2703089,2023,Evaluating ChatGPT's Accuracy in Lung Cancer Prevention and Screening Recommendations,"Haver Hana L, Lin Cheng Ting, Sirajuddin Arlene, Yi Paul H, Jeudy Jean",https://pubmed.ncbi.nlm.nih.gov/37693201/,Abstract unavailable.
0000-0003-0275-8037,https://profiles.hopkinsmedicine.org/provider/cheng-ting-lin/2703089,2023,"Use of ChatGPT, GPT-4, and Bard to Improve Readability of ChatGPT's Answers to Common Questions About Lung Cancer and Lung Cancer Screening.","Haver Hana L, Lin Cheng Ting, Sirajuddin Arlene, Yi Paul H, Jeudy Jean",https://pubmed.ncbi.nlm.nih.gov/37341179/,"ChatGPT’s responses to questions about lung cancer and LCS, although deemed clinically appropriate by cardiothoracic radiologists, were difficult to read. Simplified responses from three LLMs (ChatGPT, GPT-4, and Bard) had improved reading ease and readability (in terms of U.S. grade levels). However, some simplified responses were no longer clinically appropriate."
0000-0003-0275-8037,https://profiles.hopkinsmedicine.org/provider/cheng-ting-lin/2703089,2023,Anatomic and Pathologic Causes of Recurrent Pulmonary Infections,"Harowicz Michael R, Al Khalifah Abdullah, Cohen Keira A, DeMaio Andrew, Illei Peter B, Fishman Elliot K, Lin Cheng Ting",https://pubmed.ncbi.nlm.nih.gov/37261962/,Abstract unavailable.
0000-0003-0275-8037,https://profiles.hopkinsmedicine.org/provider/cheng-ting-lin/2703089,2023,Indoor Air Pollution and Impaired Cardiac Autonomic Function in Chronic Obstructive Pulmonary Disease.,"Raju Sarath, Woo Han, Koehler Kirsten, Fawzy Ashraf, Liu Chen, Putcha Nirupama, Balasubramanian Aparna, Peng Roger D, Lin Cheng Ting, Lemoine Chantal, Wineke Jennifer, Berger Ronald D, Hansel Nadia N, McCormack Meredith C",https://pubmed.ncbi.nlm.nih.gov/36288428/,"Rationale: Indoor air pollution represents a modifiable risk factor for respiratory morbidity in chronic obstructive pulmonary disease (COPD). The effects of indoor air pollution, as well as the impact of interventions to improve indoor air quality, on cardiovascular morbidity in COPD remain unknown. Objectives: To determine the association between indoor particulate matter (PM) and heart rate variability (HRV), a measure of cardiac autonomic function tied to cardiovascular morbidity and mortality, as well as the impact of household air purifiers on HRV. Methods: Former smokers with moderate-severe COPD were recruited from a 6-month randomized controlled trial of a portable air cleaner intervention to undergo paired assessment of both in-home PM and HRV using 24-hour Holter monitoring at up to five time points. Primary outcomes were HRV measures tied to cardiovascular morbidity (standard deviation of normal-to-normal intervals [SDNN] and root mean square of successive differences between normal-to-normal intervals [RMSSD]). Measurements and Results: Eighty-five participants contributed 317 HRV measurements. A twofold increase in household PM ⩽2.5 µm in aerodynamic diameter was associated with decreases in SDNN (β, -2.98% [95% confidence interval (CI), -5.12 to -0.78]) and RMSSD (β, -4.57% [95% CI, -10.1 to -1.60]). The greatest effects were observed with ultrafine particles (<100 nm) (RMSSD; β, -16.4% [95% CI, -22.3 to -10.1]) and among obese participants. Participants randomized to the active air cleaner saw improvements in RMSSD (β, 25.2% [95% CI, 2.99 to 52.1]), but not SDNN (β, 2.65% [95% CI, -10.8 to 18.1]), compared with the placebo group. Conclusions: This is the first U.S. study to describe the association between household PM and cardiac autonomic function among individuals with COPD, as well as the potential cardiovascular health benefits of household air cleaners."
0000-0003-0275-8037,https://profiles.hopkinsmedicine.org/provider/cheng-ting-lin/2703089,2023,Anti-MDA5-positive dermatomyositis and remission in a single referral centre population.,"Tiniakou Eleni, Mecoli Christopher A, Kelly William, Albayda Jemima, Paik Julie J, Adler Brit L, Lin Cheng Ting, Mammen Andrew L, Danoff Sonye K, Casciola-Rosen Livia, Christopher-Stine Lisa",https://pubmed.ncbi.nlm.nih.gov/36826791/,"To describe a single-centre North American adult cohort of anti-MDA5-positive dermatomyositis patients, with emphasis on drug-free long-term remission. We conducted an observational retrospective cohort study of anti-MDA5-positive DM patients. All consented patients seen in the Johns Hopkins Myositis Centre from 2003-2020 with suspected muscle disease were routinely screened for myositis-specific autoantibodies. All sera were screened for anti-MDA5 autoantibodies by line blot; positives were verified by enzyme-linked immunoassay. Patients whose sera were anti-MDA5 positive by both assays (n=52) were followed longitudinally. If clinical status was unavailable, structured telephone interviews were conducted. Clinical remission was defined as being off all immunosuppression >1 year while remaining asymptomatic. 38/52 (73%) of the patients were women with a median age at disease-onset of 47 (IQR 40-54). Twenty-five of the patients (48%) were White, 16 (30%) were Black and 3 (6%) were Asian. Most patients (42/52, 80%) had interstitial lung disease, defined by inflammatory or fibrotic changes on high resolution computed tomography (HRCT). 18/52 (35%) of patients required pulse-dose methylprednisolone, 4/52 (8%) experienced spontaneous pneumothorax/pneumomediastinum, 6/52 (12%) required intubation, and 5/52 (10%) died. Over longitudinal follow-up (median 3.5 years), 9 (18%) patients achieved clinical remission. The median time from symptom onset to clinical remission was 4 years, and the median duration of sustained remission was 3.5 years (range 1.4-7.8). No demographic or disease characteristics were significantly associated with remission. In this single centre, tertiary referral population of anti-MDA5-positive dermatomyositis, ~20% of patients experienced long-term drug-free remission after a median disease duration of 4 years. No clinical or biologic factors were associated with clinical remission."
0000-0003-0275-8037,https://profiles.hopkinsmedicine.org/provider/cheng-ting-lin/2703089,2023,Urine and Plasma Markers of Platelet Activation and Respiratory Symptoms in COPD.,"Fawzy Ashraf, Putcha Nirupama, Raju Sarath, Woo Han, Lin Cheng Ting, Brown Robert H, Williams Marlene S, Faraday Nauder, McCormack Meredith C, Hansel Nadia",https://pubmed.ncbi.nlm.nih.gov/36367951/,"Antiplatelet therapy has been associated with fewer exacerbations and reduced respiratory symptoms in chronic obstructive pulmonary disease (COPD). Whether platelet activation is associated with respiratory symptoms in COPD is unknown. Former smokers with spirometry-confirmed COPD had urine 11-dehydro-thromboxane B2 (11dTxB2), plasma soluble CD40L (sCD40L), and soluble P-selectin (sP-selectin) repeatedly measured during a 6- to 9-month study period. Multivariate mixed-effects models adjusted for demographics, clinical characteristics, and medication use evaluated the association of each biomarker with respiratory symptoms, health status, and quality of life. Among 169 participants (average age 66.5±8.2 years, 51.5% female, 47.5±31 pack years, forced expiratory volume in 1 second percent predicted 53.8±17.1), a 100% increase in 11dTxB2 was associated with worse respiratory symptoms reflected by higher scores on the COPD Assessment Test (β 0.77, 95% confidence interval [CI]: 0.11-1.4) and Ease of Cough and Sputum Clearance Questionnaire β 0.77, 95%CI: 0.38-1.2, worse health status (Clinical COPD Questionnaire β 0.13, 95%CI: 0.03-0.23) and worse quality of life (St George's Respiratory Questionnaire β 1.9, 95%CI: 0.39-3.4). No statistically significant associations were observed for sCD40L or sP-selectin. There was no consistent statistically significant effect modification of the relationship between urine 11dTxB2 and respiratory outcomes by history of cardiovascular disease, subclinical coronary artery disease, antiplatelet therapy, or COPD severity. In stable moderate-severe COPD, elevated urinary11dTxB2, a metabolite of the platelet activation product thromboxane A2, was associated with worse respiratory symptoms, health status, and quality of life."
0000-0003-0275-8037,https://profiles.hopkinsmedicine.org/provider/cheng-ting-lin/2703089,2022,Two Cases of Subsequent Hepatocellular Carcinoma in Immune Checkpoint Inhibitor-Responsive NSCLC: A Case Report.,"Cheunkarndee Tia, Guo Matthew Z, Birkness-Gartman Jacqueline E, Oshima Kiyoko, Lin Cheng Ting, Marrone Kristen A",https://pubmed.ncbi.nlm.nih.gov/36718141/,"As novel therapeutic regimens continue to lead to increased survival of patients with lung cancer, it is imperative to remain mindful of the accompanying increase in the incidence of new primary malignancies. Although the most common secondary malignancies in patients with lung cancer have historically included colon, rectal, esophageal, and thyroid cancers, we report here two rare cases of new primary hepatocellular carcinomas in patients receiving immune checkpoint inhibitor therapy for NSCLC. In both cases, the diagnosis of hepatocellular carcinoma, rather than assuming a hepatic metastasis, was crucial for determining the appropriate approach for treatment. These cases thus underscore the importance of appropriate diagnostics to ensure that the proper therapeutics are chosen and present important considerations for the lung cancer community going forward."
